disorder_id	disorder_name	description
300487	ACTIN-RELATED PROTEIN T1; ACTRT1	ARPT1
300488	"MENOPAUSE, NATURAL, AGE AT, QUANTITATIVE TRAIT LOCUS 1; MENOQ1"	
300489	"SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3; SMAX3"	"SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED RECESSIVE;; DSMAX"
300490	SH2 DOMAIN PROTEIN 1A; SH2D1A	SIGNALING LYMPHOCYTE ACTIVATION MOLECULE-ASSOCIATED PROTEIN;; SLAM-ASSOCIATED PROTEIN; SAP
300491	"EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS"	
300492	"FAMILY WITH SEQUENCE SIMILARITY 3, MEMBER A; FAM3A"	
300493	"SPERM PROTEIN ASSOCIATED WITH THE NUCLEUS, X CHROMOSOME, FAMILY MEMBER A2; SPANXA2"	
300494	"ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 1; ASPGX1"	
300495	"AUTISM, SUSCEPTIBILITY TO, X-LINKED 2; AUTSX2"	
300496	"AUTISM, SUSCEPTIBILITY TO, X-LINKED 3; AUTSX3"	
300497	"ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 2; ASPGX2"	
300498	"MENTAL RETARDATION, X-LINKED 45; MRX45"	
300499	FTSJ HOMOLOG 1; FTSJ1	"SPB1, S. CEREVISIAE, HOMOLOG OF;; JM23"
300500	"ALBINISM, OCULAR, TYPE I; OA1"	NETTLESHIP-FALLS TYPE OCULAR ALBINISM
300501	MOVED TO 309549	
300502	"PYRUVATE DEHYDROGENASE, ALPHA-1; PDHA1"	"PYRUVATE DEHYDROGENASE COMPLEX, E1-ALPHA POLYPEPTIDE 1; PHE1A;; PDHCE1A;; PDHA"
300503	MOVED TO 300419	
300504	"MENTAL RETARDATION, X-LINKED 52; MRX52"	
300505	"MENTAL RETARDATION, X-LINKED 84; MRX84"	
300506	"TSC22 DOMAIN FAMILY, MEMBER 3; TSC22D3"	"DELTA SLEEP-INDUCING PEPTIDE, IMMUNOREACTOR; DSIPI;; GLUCOCORTICOID-INDUCED LEUCINE ZIPPER; GILZ"
300507	"H2B HISTONE FAMILY, MEMBER W, TESTIS-SPECIFIC; H2BFWT"	
300508	"UTP14, S. CEREVISIAE, HOMOLOG OF, A; UTP14A"	NY-CO-16
300509	"DYSLEXIA, SUSCEPTIBILITY TO, 9; DYX9"	
300510	OVARIAN DYSGENESIS 2; ODG2	"OVARIAN DYSGENESIS, HYPERGONADOTROPIC, X-LINKED;; OVARIAN FAILURE, HYPERGONADOTROPIC, DUE TO OVARIAN DYSGENESIS"
300511	PREMATURE OVARIAN FAILURE 2A; POF2A	
300512	WD REPEAT-CONTAINING PROTEIN 13; WDR13	
300513	G PROTEIN-COUPLED RECEPTOR 119; GPR119	G PROTEIN-COUPLED RECEPTOR 2; GPCR2
300514	"FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB"	"FACB;; FANCONI PANCYTOPENIA, TYPE 2; FA2"
300515	FANCB GENE; FANCB	"FANCONI ANEMIA-ASSOCIATED POLYPEPTIDE, 95-KD; FAAP95;; FAAP90;; FLJ34064"
300516	"ATPase, CLASS VI, TYPE 11C; ATP11C"	ATPase IQ; ATPIQ;; ATPase IG; ATPIG
300517	"SPINDLIN FAMILY, MEMBER 2"	"SPIN2;; SPIN2, TELOMERIC COPY"
300518	"MENTAL RETARDATION, X-LINKED 82; MRX82"	
300519	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, MARTIN-PROBST TYPE; MRXSMP"	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME
300520	CLAUDIN 2; CLDN2	
300521	KINESIN FAMILY MEMBER 4A; KIF4A	KIF4
300522	IQ MOTIF- AND SEC7 DOMAIN-CONTAINING PROTEIN 2; IQSEC2	KIAA0522
300523	ALLAN-HERNDON-DUDLEY SYNDROME; AHDS	"ALLAN-HERNDON SYNDROME;; MONOCARBOXYLATE TRANSPORTER 8 DEFICIENCY;; TRIIODOTHYRONINE RESISTANCE;; T3 RESISTANCE;; MENTAL RETARDATION, X-LINKED, WITH HYPOTONIA;; MENTAL RETARDATION AND MUSCULAR ATROPHY"
300524	NEURITE EXTENSION AND MIGRATION FACTOR; NEXMIF	KIAA2022
300525	"PYRIMIDINERGIC RECEPTOR P2Y, G PROTEIN-COUPLED, 8; P2RY8"	P2Y8
300526	WD REPEAT-CONTAINING PROTEIN 45; WDR45	WD40 REPEAT PROTEIN INTERACTING WITH PHOSPHOINOSITIDES 4; WIPI4
300527	NUDIX HYDROLASE 10; NUDT10	"NUCLEOSIDE DIPHOSPHATE-LINKED MOIETY X MOTIF 10;; NUDIX MOTIF 10;; DIPHOSPHOINOSITOL POLYPHOSPHATE PHOSPHOHYDROLASE 3, ALPHA; DIPP3A;; DIPP3-ALPHA;; APS2"
300528	NUDIX HYDROLASE 11; NUDT11	"NUCLEOSIDE DIPHOSPHATE-LINKED MOIETY X MOTIF 11;; NUDIX MOTIF 11;; DIPHOSPHOINOSITOL POLYPHOSPHATE PHOSPHOHYDROLASE 3, BETA; DIPP3B;; DIPP3-BETA;; APS1"
300529	"PURINERGIC RECEPTOR P2Y, G PROTEIN-COUPLED, 10; P2RY10"	P2Y10
300530	MOVED TO 611775	
300531	"SPROUTY, DROSOPHILA, HOMOLOG OF, 3; SPRY3"	
300532	"VARIABLY CHARGED, X CHROMOSOME, 2; VCX2"	"VARIABLY CHARGED, X CHROMOSOME, WITH 2 REPEATS; VCX2R;; VARIABLY CHARGED, X CHROMOSOME, B; VCXB"
300533	"VARIABLY CHARGED, X CHROMOSOME, 3A; VCX3A"	"VARIABLY CHARGED, X CHROMOSOME, WITH 8 REPEATS; VCX8R;; VARIABLY CHARGED, X CHROMOSOME, A; VCXA"
300534	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ"	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, JARID1C-RELATED; MRXSJ"
300535	OCRL GENE; OCRL	OCRL1
300536	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 4; BMND4	
300537	MOVED TO 300049	
300538	ARGININE VASOPRESSIN RECEPTOR 2; AVPR2	ANTIDIURETIC HORMONE RECEPTOR; ADHR;; VASOPRESSIN V2 RECEPTOR; V2R
300539	NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD	
300540	"HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 7; HAUS7"	UCHL5-INTERACTING PROTEIN; UCHL5IP;; UCH37-INTERACTING PROTEIN 1; UIP1
300541	"SARCOMA, SYNOVIAL, X BREAKPOINT 6; SSX6"	
300542	"SARCOMA, SYNOVIAL, X BREAKPOINT 7; SSX7"	
300543	"SARCOMA, SYNOVIAL, X BREAKPOINT 8; SSX8"	
300544	"SARCOMA, SYNOVIAL, X BREAKPOINT 9; SSX9"	
300545	HEPARAN SULFATE 6-O-SULFOTRANSFERASE 2; HS6ST2	
300546	"FYVE, RhoGEF, AND PH DOMAIN-CONTAINING PROTEIN 1; FGD1"	
300547	MST3- AND SOK1-RELATED KINASE	MASK;; MAMMALIAN STERILE 20-LIKE 4; MST4
300548	"MELANOMA ANTIGEN, FAMILY H, 1; MAGEH1"	MAGEH
300549	"MELANOMA ANTIGEN, FAMILY A, 2B; MAGEA2B"	
300550	"PHOSPHATE-REGULATING ENDOPEPTIDASE HOMOLOG, X-LINKED; PHEX"	PEX
300551	MOVED TO 309530	
300552	MIDLINE 1; MID1	"MIDLINE 1 RING FINGER GENE;; MIDIN;; FINGER ON X AND Y, MOUSE, HOMOLOG OF; FXY"
300553	BROMODOMAIN- AND WD REPEAT-CONTAINING PROTEIN 3; BRWD3	
300554	"HYPOPHOSPHATEMIC RICKETS, X-LINKED RECESSIVE"	
300555	DENT DISEASE 2	
300556	"ATPase, H+ TRANSPORTING, LYSOSOMAL, ACCESSORY PROTEIN 2; ATP6AP2"	"M8-9, BOVINE, HOMOLOG OF;; ATP6M8-9;; RENIN RECEPTOR"
300557	PARKINSON DISEASE 12; PARK12	"PARKINSON DISEASE, X-LINKED"
300558	"MENTAL RETARDATION, X-LINKED 30; MRX30"	"MENTAL RETARDATION, X-LINKED 47; MRX47"
300559	"GLYCOGEN STORAGE DISEASE, TYPE IXd; GSD9D"	"GSD IXd;; MUSCLE PHOSPHORYLASE KINASE DEFICIENCY;; MUSCLE GLYCOGENOSIS, X-LINKED"
300560	PHD FINGER PROTEIN 8; PHF8	ZINC FINGER PROTEIN 422; ZNF422;; KIAA1111
300561	"SLIT- AND NTRK-LIKE FAMILY, MEMBER 2; SLITRK2"	KIAA1854
300562	"SLIT- AND NTRK-LIKE FAMILY, MEMBER 4; SLITRK4"	
300563	MOVED TO 311070	
300564	TSPY-LIKE 2; TSPYL2	CELL DIVISION AUTOANTIGEN 1; CDA1;; DIFFERENTIALLY EXPRESSED NUCLEOLAR TGFB1 TARGET; DENTT;; CASK-INTERACTING NUCLEOSOME ASSEMBLY PROTEIN; CINAP
300565	CHROMOSOME X OPEN READING FRAME 1; CXORF1	
300566	LHFP-LIKE PROTEIN 1; LHFPL1	
300567	PHOSPHOGLYCERATE MUTASE FAMILY MEMBER 4; PGAM4	PHOSPHOGLYCERATE MUTASE FAMILY 3; PGAM3
300568	MICRO RNA 221; MIR221	miRNA221;; MIRN221
300569	MICRO RNA 222; MIR222	miRNA222;; MIRN222
300570	TRANSCRIPTION FACTOR YY2; YY2	ZNF631
300571	MOVED TO 615465	
300572	ADHESION G PROTEIN-COUPLED RECEPTOR G2; ADGRG2	"G PROTEIN-COUPLED RECEPTOR 64; GPR64;; G PROTEIN-COUPLED RECEPTOR, EPIDIDYMIS-SPECIFIC;; HUMAN EPIDIDYMIS-SPECIFIC PROTEIN 6; HE6"
300573	ZINC FINGER PROTEIN 674; ZNF674	
300574	"CHEMOKINE, CXC MOTIF, RECEPTOR 3; CXCR3"	G PROTEIN-COUPLED RECEPTOR 9; GPR9;; CD183 ANTIGEN; CD183
300575	"RIPPLY1, ZEBRAFISH, HOMOLOG OF; RIPPLY1"	LOC92129
300576	ZINC FINGER DHHC DOMAIN-CONTAINING PROTEIN 15; ZDHHC15	
300577	"MENTAL RETARDATION, X-LINKED 91; MRX91"	
300578	CHROMOSOME Xp11.3 DELETION SYNDROME	"MENTAL RETARDATION, X-LINKED, WITH RETINITIS PIGMENTOSA"
300579	SHROOM FAMILY MEMBER 4; SHROOM4	KIAA1202
300580	"MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED; CFTDX"	
300581	FG SYNDROME 5; FGS5	
300582	"SHORT STATURE, IDIOPATHIC, X-LINKED; ISS"	
300583	VESTIGIAL-LIKE 1; VGLL1	VGL1;; TONDU; TDU
300584	IMMUNODEFICIENCY WITHOUT ANHIDROTIC ECTODERMAL DYSPLASIA	"IMMUNODEFICIENCY, ISOLATED;; IMMUNODEFICIENCY, PURE"
300585	ZINC FINGER PROTEIN 673; ZNF673	FLJ20344
300586	ARYLSULFATASE H; ARSH	
300587	MALIGNANT T-CELL AMPLIFIED SEQUENCE 1; MCTS1	MCT1
300588	TENEURIN TRANSMEMBRANE PROTEIN 1; TENM1	"ODZ, DROSOPHILA, HOMOLOG OF, 1; ODZ1;; TENASCIN M1; TNM1;; TENEURIN 1"
300589	"NYSTAGMUS 5, CONGENITAL, X-LINKED; NYS5"	
300590	CORNELIA DE LANGE SYNDROME 2; CDLS2	"CORNELIA DE LANGE SYNDROME, X-LINKED;; CDLS, X-LINKED"
300591	STATURE QUANTITATIVE TRAIT LOCUS 6; STQTL6	
300592	"CANCER/TESTIS ANTIGEN FAMILY 47, MEMBER A11; CT47A11"	CT47.11;; LOC255313
300593	SPERM ACROSOME-ASSOCIATED PROTEIN 5; SPACA5	LOC389852
300594	G ANTIGEN 1; GAGE1	
300595	G ANTIGEN 2C; GAGE2C	GAGE2
300596	G ANTIGEN 3; GAGE3	
300597	G ANTIGEN 4; GAGE4	
300598	G ANTIGEN 5; GAGE5	
300599	G ANTIGEN 6; GAGE6	
300600	ALAND ISLAND EYE DISEASE; AIED	FORSIUS-ERIKSSON TYPE OCULAR ALBINISM
300601	G ANTIGEN 7; GAGE7	
300602	CLARK-BARAITSER SYNDROME	BARAITSER SYNDROME
300603	POF1B GENE; POF1B	"FLJ22792;; ACTIN-BINDING PROTEIN, 34-KD"
300604	PREMATURE OVARIAN FAILURE 2B; POF2B	
300605	RETINITIS PIGMENTOSA 34; RP34	
300606	MOVED TO 313500	
300607	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 8; EIEE8"	HYPEREKPLEXIA AND EPILEPSY
300608	"DACHSHUND, DROSOPHILA, HOMOLOG OF, 2; DACH2"	
300609	"MALE-SPECIFIC LETHAL 3, DROSOPHILA, HOMOLOG OF; MSL3"	MALE-SPECIFIC LETHAL 3-LIKE 1; MSL3L1;; DROSOPHILA MSL3-LIKE 1
300610	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN H2; HNRNPH2	HNRPH2;; HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN H-PRIME
300611	C1GALT1-SPECIFIC CHAPERONE 1; C1GALT1C1	CORE 1 BETA-3-GALACTOSYLTRANSFERASE-SPECIFIC MOLECULAR CHAPERONE;; COSMC;; C1GALT2
300612	BROOKS-WISNIEWSKI-BROWN SYNDROME	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, BROOKS-WISNIEWSKI-BROWN TYPE; MRXSBWB"
300613	"MYOPIA 13, X-LINKED; MYP13"	
300614	"DEAFNESS, X-LINKED 5; DFNX5"	"AUDITORY NEUROPATHY, X-LINKED, 1, WITH PERIPHERAL SENSORY NEUROPATHY; AUNX1"
300615	BRUNNER SYNDROME; BRNRS	
300616	LEUCINE ZIPPER PROTEIN 4; LUZP4	HOM-TES-85
300617	"BRCA1/BRCA2-CONTAINING COMPLEX, SUBUNIT 3; BRCC3"	C6.1A;; BRCC36
300618	PHD FINGER PROTEIN 16; PHF16	JADE3;; KIAA0215
300619	"CATARACT, ATAXIA, SHORT STATURE, AND MENTAL RETARDATION"	CASM SYNDROME
300620	V-SET AND IMMUNOGLOBULIN DOMAINS-CONTAINING PROTEIN 1; VSIG1	GLYCOPROTEIN A34; GPA34
300621	DXF34 GENE	"DXF34;; SPINDLIN FAMILY, MEMBER 2, CENTROMERIC COPY;; SPIN2, CENTROMERIC COPY"
300622	TN POLYAGGLUTINATION SYNDROME; TNPS	GALACTOSYLTRANSFERASE DEFICIENCY
300623	FRAGILE X TREMOR/ATAXIA SYNDROME; FXTAS	
300624	FRAGILE X SYNDROME	"FRAGILE X MENTAL RETARDATION SYNDROME;; MENTAL RETARDATION, X-LINKED, ASSOCIATED WITH marXq28;; X-LINKED MENTAL RETARDATION AND MACROORCHIDISM;; MARKER X SYNDROME;; MARTIN-BELL SYNDROME"
300625	KITA-KYUSHU LUNG CANCER ANTIGEN 1	KKLC1;; CHROMOSOME X OPEN READING FRAME 61; CXORF61
300626	ANKYRIN REPEAT- AND SOCS BOX-CONTAINING PROTEIN 11; ASB11	
300627	ZINC FINGER PROTEIN 449; ZNF449	ZSCAN19
300628	FERM DOMAIN-CONTAINING PROTEIN 7; FRMD7	
300629	"ADAPTOR-RELATED PROTEIN COMPLEX 1, SIGMA-2 SUBUNIT; AP1S2"	"CLATHRIN-ASSOCIATED/ASSEMBLY/ADAPTOR PROTEIN, SMALL 1-LIKE;; CLATHRIN ADAPTOR COMPLEX AP1, SIGMA-1B SUBUNIT"
300630	MOVED TO 304340	
300631	TRANSMEMBRANE PROTEIN 27; TMEM27	COLLECTRIN;; NX17
300632	PDZ DOMAIN-CONTAINING 11; PDZD11	ATPase-INTERACTING PDZ PROTEIN; AIPP1;; PLASMA MEMBRANE CALCIUM ATPase-INTERACTING SINGLE PDZ PROTEIN; PISP;; PMCA-INTERACTING SINGLE PDZ PROTEIN
300633	"HYPOSPADIAS 1, X-LINKED; HYSP1"	
300634	PDZ DOMAIN-CONTAINING 4; PDZD4	PDZK4;; PDZRN4L;; KIAA1444;; LU1
300635	"LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 2; XLP2"	XIAP DEFICIENCY
300636	IMMUNODEFICIENCY 33; IMD33	"IMMUNODEFICIENCY 33, MYCOBACTERIOSIS, X-LINKED;; ATYPICAL MYCOBACTERIOSIS, FAMILIAL, X-LINKED 1; AMCBX1"
300637	G ANTIGEN 12I; GAGE12I	GAGE7B
300638	G ANTIGEN 8; GAGE8	
300639	MOVED TO 300354	
300640	"INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT ISOLATED, 2; IPD2"	
300641	"SOLUTE CARRIER FAMILY 25, MEMBER 43; SLC25A43"	
300642	"SUSHI REPEAT-CONTAINING PROTEIN, X-LINKED, 2; SRPX2"	SUSHI REPEAT PROTEIN UPREGULATED IN LEUKEMIA; SRPUL
300643	"ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED; RESDX"	
300644	"GALACTOSIDASE, ALPHA; GLA"	ALPHA-GALACTOSIDASE A; GALA
300645	IMMUNODEFICIENCY 34; IMD34	"IMMUNODEFICIENCY 34, MYCOBACTERIOSIS, X-LINKED;; ATYPICAL MYCOBACTERIOSIS, FAMILIAL, X-LINKED 2; AMCBX2"
300646	ZINC FINGER DHHC DOMAIN-CONTAINING PROTEIN 9; ZDHHC9	DHHC DOMAIN-CONTAINING PROTEIN 9; DHHC9
300647	APC MEMBRANE RECRUITMENT PROTEIN 1; AMER1	"WTX;; FAMILY WITH SEQUENCE SIMILARITY 123, MEMBER B; FAM123B"
300648	"CANCER/TESTIS ANTIGEN FAMILY 45, MEMBER A1; CT45A1"	"CANCER/TESTIS ANTIGEN 45, MEMBER 1; CT45.1"
300649	"SOLUTE CARRIER FAMILY 38 (AMINO ACID TRANSPORTER), MEMBER 5; SLC38A5"	"TRANSPORT SYSTEM N, PROTEIN 2; SN2"
300650	"ALBINISM, OCULAR, WITH LATE-ONSET SENSORINEURAL DEAFNESS; OASD"	OCULAR ALBINISM WITH SENSORINEURAL DEAFNESS;; DEAFNESS AND OCULAR ALBINISM
300651	"PORCUPINE, DROSOPHILA, HOMOLOG OF; PORCN"	PORC
300652	"ANGIOMA SERPIGINOSUM, X-LINKED"	
300653	PHOSPHOGLYCERATE KINASE 1 DEFICIENCY	PGK1 DEFICIENCY
300654	FATTY ACID AMIDE HYDROLASE 2; FAAH2	
300655	KELCH-LIKE 13; KLHL13	KIAA1309
300656	"URACIL PHOSPHORIBOSYLTRANSFERASE, S. CEREVISIAE, HOMOLOG OF; UPRT"	
300657	CANCER/TESTIS ANTIGEN 1A; CTAG1A	"LAGE2A;; LAGE2, CENTROMERIC COPY"
300658	NDP GENE; NDP	NORRIN
300659	"MENTAL RETARDATION, X-LINKED 93; MRX93"	"MENTAL RETARDATION, X-LINKED, WITH MACROCEPHALY"
300660	LEUKOENCEPHALOPATHY WITH METAPHYSEAL CHONDRODYSPLASIA; LKMCD	
300661	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY	PRPS1 SUPERACTIVITY
300662	"SMALL NUCLEOLAR RNA, H/ACA BOX, 11; SNORA11"	"snoRNA, U107"
300663	"AUTOPHAGY 4, S. CEREVISIAE, HOMOLOG OF, A; ATG4A"	"APG4, S. CEREVISIAE, HOMOLOG OF, A; APG4A;; AUTOPHAGIN 2;; AUTL2"
300664	"SPANX FAMILY, MEMBER N1; SPANXN1"	
300665	"SPANX FAMILY, MEMBER N2; SPANXN2"	
300666	"SPANX FAMILY, MEMBER N3; SPANXN3"	
300667	"SPANX FAMILY, MEMBER N4; SPANXN4"	
300668	"SPANX FAMILY, MEMBER N5; SPANXN5"	
300669	"SPANX FAMILY, MEMBER B1; SPANXB1"	"SPERM PROTEIN ASSOCIATED WITH THE NUCLEUS, X CHROMOSOME, FAMILY MEMBER B1;; SPANXB"
300670	"SPANX FAMILY, MEMBER D; SPANXD"	
300671	"SPANX FAMILY, MEMBER E; SPANXE"	
300672	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 2; EIEE2"	"INFANTILE SPASM SYNDROME, X-LINKED 2; ISSX2"
300673	"ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS"	
300674	MOTILE SPERM DOMAIN-CONTAINING PROTEIN 1; MOSPD1	
300675	PARANEOPLASTIC MA ANTIGEN 3; PNMA3	PARANEOPLASTIC ANTIGEN MA3; MA3
300676	"MENTAL RETARDATION, X-LINKED, SYNDROMIC 14; MRXS14"	
300677	CHROMOSOME X OPEN READING FRAME 15; CXORF15	"TAXILIN, GAMMA;; FACTOR INHIBITING ATF4-MEDIATED TRANSCRIPTION; FIAT"
300678	DUAL-SPECIFICITY PHOSPHATASE 21; DUSP21	LMWDSP21
300679	CHROMOSOME Xp21 DELETION SYNDROME	COMPLEX GLYCEROL KINASE DEFICIENCY
300680	"PREGNANCY-UPREGULATED, NONUBIQUITOUS, CAM KINASE; PNCK"	"CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE I-BETA; CAMK1B;; BSTK3, MOUSE, HOMOLOG OF"
300681	DEDICATOR OF CYTOKINESIS 11; DOCK11	ACTIVATED CDC42-ASSOCIATED GUANINE NUCLEOTIDE EXCHANGE FACTOR; ACG;; ZIZIMIN 2; ZIZ2
300682	MICRO RNA 424; MIR424	miRNA424;; MIRN424
300683	SEPTIN 6; SEPT6	"SEP2, DROSOPHILA, HOMOLOG OF; SEP2;; KIAA0128"
300684	"X KELL BLOOD GROUP PRECURSOR-RELATED, X-LINKED; XKRX"	MEMBRANE PROTEIN XPLAC; XPLAC;; XKR2;; XRG2
300685	PROLINE-RICH GAMMA-CARBOXYGLUTAMIC ACID PROTEIN 3; PRRG3	PROLINE-RICH GLA PROTEIN 3; PRGP3;; TRANSMEMBRANE GAMMA-CARBOXYGLUTAMIC ACID PROTEIN 3; TMG3
300686	MICRO RNA 448; MIR448	miRNA448;; MIRN448
300687	ERCC6-LIKE; ERCC6L	PIK1-INTERACTING CHECKPOINT HELICASE; PICH
300688	BCL6 COREPRESSOR-LIKE 1; BCORL1	
300689	START DOMAIN-CONTAINING PROTEIN 8; STARD8	DELETED IN LIVER CANCER 3; DLC3;; STARTGAP3;; KIAA0189
300690	BRAIN-EXPRESSED X-LINKED GENE 1; BEX1	
300691	BRAIN-EXPRESSED X-LINKED GENE 2; BEX2	
300692	BEX FAMILY MEMBER 4; BEX4	BRAIN-EXPRESSED X-LINKED GENE 4;; BRAIN-EXPRESSED X-LINKED GENE-LIKE 1; BEXL1
300693	BEX FAMILY MEMBER 5; BEX5	BRAIN-EXPRESSED X-LINKED GENE 5;; NGFRAP1-LIKE 1; NGFRAP1L1
300694	MICRO RNA 223; MIR223	miRNA223;; MIRN223
300695	"SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT; SPM"	"SCAPULOPERONEAL MYOPATHY, FHL1-RELATED"
300696	"MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY; XMPMA"	
300697	"HECT, UBA, AND WWE DOMAINS-CONTAINING PROTEIN 1; HUWE1"	UPSTREAM REGULATORY ELEMENT-BINDING PROTEIN 1; UREB1;; URE-BINDING PROTEIN 1;; LASU1;; KIAA0312
300698	TRANSMEMBRANE PROTEIN 47; TMEM47	BRAIN CELL MEMBRANE PROTEIN 1; BCMP1
300699	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, WU TYPE; MRXSW"	"MENTAL RETARDATION, X-LINKED 94; MRX94;; MENTAL RETARDATION, X-LINKED, SYNDROMIC 29; MRXS29"
300700	ALBINISM-DEAFNESS SYNDROME; ADFN	ALDS
300701	ZINC FINGER CCHC DOMAIN-CONTAINING PROTEIN 12; ZCCHC12	SMAD-INTERACTING ZINC FINGER PROTEIN 1; SIZN1
300702	"MELANOMA ANTIGEN, FAMILY D, 4; MAGED4"	MAGEE1;; KIAA1859
300703	"SPINOCEREBELLAR ATAXIA, X-LINKED 5; SCAX5"	
300704	"PROSTATE CANCER, HEREDITARY, X-LINKED 2; HPCX2"	
300705	CHROMOSOME Xp11.22 DUPLICATION SYNDROME	"MENTAL RETARDATION, X-LINKED 17; MRX17;; MENTAL RETARDATION, X-LINKED 31; MRX31"
300706	"MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST"	MENTAL RETARDATION AND MACROCEPHALY SYNDROME
300707	"TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS; STAR"	STAR SYNDROME;; SYNDACTYLY WITH RENAL AND ANOGENITAL MALFORMATIONS
300708	"FAMILY WITH SEQUENCE SIMILARITY 58, MEMBER A; FAM58A"	
300709	"MENTAL RETARDATION, X-LINKED, SYNDROMIC 9; MRXS9"	
300710	"ALOPECIA, ANDROGENETIC, 2; AGA2"	
300711	"PYLORIC STENOSIS, INFANTILE HYPERTROPHIC, 4; IHPS4"	
300712	CRANIOFACIOSKELETAL SYNDROME	
300713	OTU DOMAIN-CONTAINING PROTEIN 5; OTUD5	DUBA
300714	OTU DOMAIN-CONTAINING PROTEIN 6A; OTUD6A	DUBA2;; HIN6 PROTEASE
300715	MAGNESIUM TRANSPORTER 1; MAGT1	IAP
300716	"MENTAL RETARDATION, X-LINKED 95; MRX95"	
300717	"REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET; RBMX1A"	
300718	"REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET; RBMX1B"	
300719	"DEAFNESS, CATARACT, RETINITIS PIGMENTOSA, AND SPERM ABNORMALITIES"	
300720	G ANTIGEN 2A; GAGE2A	
300721	MICRO RNA LET7F2; MIRLET7F2	"LET7, C. ELEGANS, HOMOLOG OF, F2; LET7F2;; miRNA LET7F2;; MIRNLET7F2"
300722	MICRO RNA 19B2; MIR19B2	miRNA19B2;; MIRN19B2
300723	SYNAPTOTAGMIN-LIKE 4; SYTL4	GRANUPHILIN
300724	CONNECTOR ENHANCER OF KSR 2; CNKSR2	"CNK, DROSOPHILA, HOMOLOG OF, 2; CNK2;; KIAA0902"
300725	RAS-RELATED GTP-BINDING PROTEIN B; RRAGB	RAGB
300726	G ANTIGEN 2B; GAGE2B	
300727	G ANTIGEN 12C; GAGE12C	
300728	G ANTIGEN 12D; GAGE12D	
300729	G ANTIGEN 12E; GAGE12E	
300730	G ANTIGEN 12F; GAGE12F	
300731	G ANTIGEN 12G; GAGE12G	
300732	G ANTIGEN 12H; GAGE12H	
300733	G ANTIGEN 12J; GAGE12J	
300734	G ANTIGEN 13; GAGE13	
300735	G ANTIGEN 2D; GAGE2D	
300736	G ANTIGEN 2E; GAGE2E	
300737	G ANTIGEN 10; GAGE10	
300738	"P ANTIGEN FAMILY, MEMBER 2; PAGE2"	PROSTATE-ASSOCIATED GENE 2;; GAGEC2
300739	"P ANTIGEN FAMILY, MEMBER 3; PAGE3"	PROSTATE-ASSOCIATED GENE 3;; GAGED1
300740	"X ANTIGEN FAMILY, MEMBER 3; XAGE3"	PLACENTA-SPECIFIC 6; PLAC6
300741	"FAMILY WITH SEQUENCE SIMILARITY 120, MEMBER C; FAM120C"	CHROMOSOME X OPEN READING FRAME 17; CXORF17
300742	"X ANTIGEN FAMILY, MEMBER 1A; XAGE1A"	
300743	"X ANTIGEN FAMILY, MEMBER 1B; XAGE1B"	
300744	"X ANTIGEN FAMILY, MEMBER 1C; XAGE1C"	
300745	"X ANTIGEN FAMILY, MEMBER 1E; XAGE1E"	
